Constituency,Constituency_ID,Candidate_Name,Party,Age,Gender
Thiruvottiyur,10,P. Moorthy,Independent,49,Male
Thiruvottiyur,10,B. Balaji,Independent,73,Male
Thiruvottiyur,10,C. Moorthy,Independent,54,Male
Thiruvottiyur,10,D. Mani,Independent,43,Male
Thiruvottiyur,10,B. Vijay,Independent,58,Male
Thiruvottiyur,10,D. Kalpana,Independent,66,Female
Thiruvottiyur,10,T. Ashok,Independent,59,Male
Dr.Radhakrishnan Nagar,11,L. Karthik,DMK,27,Male
Dr.Radhakrishnan Nagar,11,C. Rajini,AIADMK,71,Male
Dr.Radhakrishnan Nagar,11,N. Lakshmi,NTK,44,Female
Dr.Radhakrishnan Nagar,11,K. Anitha,Independent,70,Female
Dr.Radhakrishnan Nagar,11,K. Chandran,Independent,40,Male
Dr.Radhakrishnan Nagar,11,N. Perumal,Independent,27,Male
Dr.Radhakrishnan Nagar,11,G. Natarajan,Independent,37,Male
Dr.Radhakrishnan Nagar,11,V. Ganesan,Independent,55,Male
Dr.Radhakrishnan Nagar,11,V. Karuppu,Independent,49,Male
Dr.Radhakrishnan Nagar,11,T. Surya,Independent,43,Male
Dr.Radhakrishnan Nagar,11,N. Mani,Independent,74,Male
Dr.Radhakrishnan Nagar,11,A. Prakash,Independent,63,Male
Perambur,12,G. Moorthy,DMK,50,Male
Perambur,12,D. Vasanthi,AIADMK,50,Female
Perambur,12,K. Revathi,NTK,28,Female
Perambur,12,G. Mani,INC,48,Male
Perambur,12,G. Ramesh,VCK,38,Male
Perambur,12,D. Natarajan,Independent,60,Male
Perambur,12,P. Moorthy,Independent,57,Male
Perambur,12,B. Muthu,Independent,66,Male
Perambur,12,V. Suresh,Independent,43,Male
Perambur,12,C. Mani,Independent,38,Male
Perambur,12,B. Ashok,Independent,41,Male
Perambur,12,G. Velu,Independent,56,Male
Perambur,12,P. Palani,Independent,59,Male
Perambur,12,C. Velu,Independent,27,Male
Perambur,12,R. Ajith,Independent,53,Male
Perambur,12,G. Dhanush,Independent,40,Male
Perambur,12,J. Senthil,Independent,50,Male
Perambur,12,G. Moorthy,Independent,30,Male
Perambur,12,C. Surya,Independent,61,Male
Perambur,12,K. Ashok,Independent,69,Male
Kolathur,13,R. Ajith,DMK,69,Male
Kolathur,13,S. Senthil,AIADMK,57,Male
Kolathur,13,C. Suganya,NTK,26,Female
Kolathur,13,K. Rajini,BJP,49,Male
Kolathur,13,M. Sivakarthikeyan,Independent,44,Male
Kolathur,13,A. Karthik,Independent,46,Male
Kolathur,13,G. Sudha,Independent,62,Female
Kolathur,13,V. Dhanush,Independent,63,Male
Kolathur,13,V. Devi,Independent,29,Female
Kolathur,13,M. Vikram,Independent,51,Male
Kolathur,13,A. Sudha,Independent,63,Female
Kolathur,13,E. Ganesan,Independent,65,Male
Kolathur,13,T. Rajini,Independent,31,Male
Kolathur,13,N. Natarajan,Independent,29,Male
Villivakkam,14,T. Perumal,DMK,55,Male
Villivakkam,14,N. Dhanush,AIADMK,31,Male
Villivakkam,14,A. Karuppu,NTK,38,Male
Villivakkam,14,M. Kalpana,BJP,39,Female
Villivakkam,14,N. Geetha,VCK,31,Female
Villivakkam,14,E. Senthil,Independent,66,Male
Villivakkam,14,J. Kannan,Independent,59,Male
Villivakkam,14,R. Selvam,Independent,47,Male
Villivakkam,14,T. Velu,Independent,36,Male
Villivakkam,14,B. Muthu,Independent,44,Male
Villivakkam,14,S. Surya,Independent,53,Male
Villivakkam,14,V. Meena,Independent,64,Female
Villivakkam,14,B. Senthil,Independent,60,Male
Villivakkam,14,S. Palani,Independent,69,Male
Villivakkam,14,M. Prakash,Independent,47,Male
Villivakkam,14,K. Murugan,Independent,51,Male
Villivakkam,14,R. Arun,Independent,40,Male
Villivakkam,14,R. Prakash,Independent,72,Male
Thiru-Vi-Ka-Nagar,15,G. Vasanthi,DMK,57,Female
Thiru-Vi-Ka-Nagar,15,A. Ajith,AIADMK,31,Male
Thiru-Vi-Ka-Nagar,15,R. Rajini,NTK,54,Male
Thiru-Vi-Ka-Nagar,15,D. Perumal,Independent,40,Male
Thiru-Vi-Ka-Nagar,15,A. Kamal,Independent,29,Male
Thiru-Vi-Ka-Nagar,15,E. Moorthy,Independent,65,Male
Thiru-Vi-Ka-Nagar,15,D. Muthu,Independent,60,Male
Thiru-Vi-Ka-Nagar,15,N. Sivakarthikeyan,Independent,32,Male
Thiru-Vi-Ka-Nagar,15,K. Vikram,Independent,53,Male
Thiru-Vi-Ka-Nagar,15,D. Sekar,Independent,73,Male
Thiru-Vi-Ka-Nagar,15,C. Priya,Independent,68,Female
Thiru-Vi-Ka-Nagar,15,C. Natarajan,Independent,56,Male
Egmore,16,C. Selvam,DMK,70,Male
Egmore,16,K. Sekar,AIADMK,31,Male
Egmore,16,G. Murugan,NTK,34,Male
Egmore,16,M. Selvam,Independent,74,Male
Egmore,16,D. Palani,Independent,48,Male
Egmore,16,C. Vasanthi,Independent,65,Female
Egmore,16,L. Balaji,Independent,52,Male
Egmore,16,M. Palani,Independent,72,Male
Egmore,16,G. Perumal,Independent,41,Male
Egmore,16,L. Moorthy,Independent,43,Male
Egmore,16,L. Karuppu,Independent,70,Male
Egmore,16,T. Geetha,Independent,47,Female
Royapuram,17,J. Senthil,DMK,69,Male
Royapuram,17,D. Senthil,AIADMK,50,Male
Royapuram,17,T. Ganesan,NTK,68,Male
Royapuram,17,P. Sekar,Independent,73,Male
Royapuram,17,N. Ganesan,Independent,47,Male
Royapuram,17,P. Ganesan,Independent,72,Male
Royapuram,17,L. Ashok,Independent,25,Male
Royapuram,17,T. Ramesh,Independent,63,Male
Royapuram,17,M. Suresh,Independent,32,Male
Royapuram,17,S. Selvam,Independent,49,Male
Royapuram,17,L. Murugan,Independent,38,Male
Royapuram,17,C. Palani,Independent,36,Male
Royapuram,17,P. Moorthy,Independent,31,Male
Royapuram,17,B. Raja,Independent,33,Male
Royapuram,17,S. Palani,Independent,32,Male
Royapuram,17,C. Kamal,Independent,75,Male
Royapuram,17,R. Ramesh,Independent,33,Male
Royapuram,17,A. Raja,Independent,51,Male
Royapuram,17,T. Revathi,Independent,28,Female
Royapuram,17,E. Mani,Independent,65,Male
Harbour,18,V. Natarajan,DMK,65,Male
Harbour,18,A. Raja,AIADMK,74,Male
Harbour,18,E. Sekar,NTK,37,Male
Harbour,18,T. Vikram,Independent,38,Male
Harbour,18,M. Karthik,Independent,31,Male
Harbour,18,R. Vijay,Independent,48,Male
Harbour,18,C. Murugan,Independent,48,Male
Harbour,18,C. Mani,Independent,60,Male
Harbour,18,N. Selvam,Independent,30,Male
Harbour,18,D. Vijay,Independent,69,Male
Harbour,18,P. Surya,Independent,35,Male
Harbour,18,L. Rajini,Independent,49,Male
Harbour,18,V. Arun,Independent,37,Male
Harbour,18,G. Arun,Independent,55,Male
Harbour,18,E. Raja,Independent,59,Male
Harbour,18,P. Palani,Independent,71,Male
Harbour,18,B. Kannan,Independent,34,Male
Harbour,18,R. Kamal,Independent,38,Male
Harbour,18,L. Perumal,Independent,29,Male
Harbour,18,M. Kannan,Independent,33,Male
Chepauk-Thiruvallikeni,19,A. Karthik,DMK,45,Male
Chepauk-Thiruvallikeni,19,N. Kamal,AIADMK,41,Male
Chepauk-Thiruvallikeni,19,S. Senthil,NTK,59,Male
Chepauk-Thiruvallikeni,19,K. Ramesh,BJP,47,Male
Chepauk-Thiruvallikeni,19,V. Gayathri,VCK,69,Female
Chepauk-Thiruvallikeni,19,N. Arun,Independent,37,Male
Chepauk-Thiruvallikeni,19,L. Prakash,Independent,50,Male
Chepauk-Thiruvallikeni,19,C. Karthik,Independent,52,Male
Chepauk-Thiruvallikeni,19,B. Ramesh,Independent,55,Male
Chepauk-Thiruvallikeni,19,V. Chandran,Independent,32,Male
Chepauk-Thiruvallikeni,19,P. Rajini,Independent,41,Male
Chepauk-Thiruvallikeni,19,S. Palani,Independent,66,Male
Thousand Lights,20,V. Prakash,DMK,36,Male
Thousand Lights,20,E. Muthu,AIADMK,69,Male
Thousand Lights,20,G. Kannan,NTK,73,Male
Thousand Lights,20,S. Sekar,PMK,60,Male
Thousand Lights,20,C. Chandran,Independent,49,Male
Thousand Lights,20,J. Rajendran,Independent,41,Male
Thousand Lights,20,K. Senthil,Independent,60,Male
Thousand Lights,20,J. Mani,Independent,36,Male
Thousand Lights,20,G. Palani,Independent,71,Male
Thousand Lights,20,M. Perumal,Independent,54,Male
Thousand Lights,20,B. Mani,Independent,71,Male
Thousand Lights,20,M. Ajith,Independent,65,Male
Thousand Lights,20,T. Senthil,Independent,69,Male
Thousand Lights,20,R. Sekar,Independent,72,Male
Thousand Lights,20,C. Rajini,Independent,69,Male
Anna Nagar,21,N. Shanthi,DMK,41,Female
Anna Nagar,21,L. Murugan,AIADMK,68,Male
Anna Nagar,21,G. Mani,NTK,74,Male
Anna Nagar,21,T. Vijay,INC,74,Male
Anna Nagar,21,L. Mani,Independent,50,Male
Anna Nagar,21,R. Ajith,Independent,64,Male
Anna Nagar,21,A. Murugan,Independent,29,Male
Anna Nagar,21,A. Ramesh,Independent,65,Male
Anna Nagar,21,E. Karthik,Independent,26,Male
Anna Nagar,21,A. Kamal,Independent,53,Male
Anna Nagar,21,J. Vikram,Independent,56,Male
Anna Nagar,21,K. Ramesh,Independent,48,Male
Anna Nagar,21,J. Ramesh,Independent,44,Male
Anna Nagar,21,V. Natarajan,Independent,69,Male
Anna Nagar,21,D. Perumal,Independent,70,Male
Anna Nagar,21,C. Kamal,Independent,44,Male
Anna Nagar,21,P. Ajith,Independent,30,Male
Anna Nagar,21,A. Velu,Independent,57,Male
Anna Nagar,21,B. Suresh,Independent,44,Male
Anna Nagar,21,J. Murugan,Independent,25,Male
Anna Nagar,21,R. Muthu,Independent,73,Male
Anna Nagar,21,C. Sekar,Independent,56,Male
Virugampakkam,22,E. Perumal,DMK,53,Male
Virugampakkam,22,C. Vikram,AIADMK,74,Male
Virugampakkam,22,T. Ashok,NTK,26,Male
Virugampakkam,22,V. Geetha,PMK,62,Female
Virugampakkam,22,G. Karuppu,Independent,63,Male
Virugampakkam,22,C. Muthu,Independent,37,Male
Virugampakkam,22,E. Rajendran,Independent,68,Male
Virugampakkam,22,S. Rajini,Independent,48,Male
Virugampakkam,22,D. Surya,Independent,62,Male
Virugampakkam,22,D. Raja,Independent,56,Male
Virugampakkam,22,R. Gayathri,Independent,46,Female
Virugampakkam,22,N. Suresh,Independent,52,Male
Virugampakkam,22,K. Senthil,Independent,31,Male
Saidapet,23,T. Revathi,DMK,41,Female
Saidapet,23,C. Surya,AIADMK,42,Male
Saidapet,23,G. Ganesan,NTK,41,Male
Saidapet,23,S. Chandran,INC,34,Male
Saidapet,23,G. Karthik,VCK,67,Male
Saidapet,23,G. Murugan,Independent,58,Male
Saidapet,23,E. Kannan,Independent,34,Male
Saidapet,23,A. Raja,Independent,33,Male
Saidapet,23,K. Moorthy,Independent,69,Male
Saidapet,23,P. Meena,Independent,49,Female
Saidapet,23,D. Natarajan,Independent,25,Male
Saidapet,23,N. Rajini,Independent,54,Male
Saidapet,23,B. Devi,Independent,39,Female
Saidapet,23,E. Senthil,Independent,36,Male
Saidapet,23,P. Sekar,Independent,71,Male
Saidapet,23,V. Indira,Independent,33,Female
Saidapet,23,R. Meena,Independent,66,Female
Saidapet,23,D. Chandran,Independent,65,Male
Thiyagarayanagar,24,A. Dhanush,DMK,33,Male
Thiyagarayanagar,24,R. Chandran,AIADMK,63,Male
Thiyagarayanagar,24,J. Malathi,NTK,39,Female
Thiyagarayanagar,24,M. Chandran,PMK,45,Male
Thiyagarayanagar,24,B. Vijay,Independent,37,Male
Thiyagarayanagar,24,P. Rajini,Independent,28,Male
Thiyagarayanagar,24,B. Sekar,Independent,37,Male
Thiyagarayanagar,24,V. Vijay,Independent,71,Male
Thiyagarayanagar,24,V. Vijay,Independent,66,Male
Thiyagarayanagar,24,L. Palani,Independent,40,Male
Thiyagarayanagar,24,C. Perumal,Independent,46,Male
Thiyagarayanagar,24,B. Perumal,Independent,59,Male
Thiyagarayanagar,24,D. Balaji,Independent,41,Male
Mylapore,25,G. Prakash,DMK,25,Male
Mylapore,25,P. Dhanush,AIADMK,25,Male
Mylapore,25,D. Ajith,NTK,42,Male
Mylapore,25,E. Selvam,Independent,32,Male
Mylapore,25,J. Raja,Independent,32,Male
Mylapore,25,E. Karuppu,Independent,57,Male
Mylapore,25,C. Palani,Independent,48,Male
Mylapore,25,D. Surya,Independent,36,Male
Mylapore,25,J. Ganesan,Independent,38,Male
Mylapore,25,T. Rajendran,Independent,50,Male
Mylapore,25,A. Arun,Independent,44,Male
Mylapore,25,M. Kalpana,Independent,58,Female
Mylapore,25,M. Vikram,Independent,41,Male
Mylapore,25,T. Sekar,Independent,42,Male
Mylapore,25,C. Dhanush,Independent,64,Male
Velachery,26,L. Moorthy,DMK,30,Male
Velachery,26,K. Chandran,AIADMK,71,Male
Velachery,26,P. Senthil,NTK,26,Male
Velachery,26,R. Arun,BJP,54,Male
Velachery,26,S. Suresh,PMK,46,Male
Velachery,26,K. Palani,Independent,38,Male
Velachery,26,G. Ganesan,Independent,59,Male
Velachery,26,T. Kamal,Independent,25,Male
Velachery,26,R. Raja,Independent,41,Male
Velachery,26,M. Ramesh,Independent,40,Male
Velachery,26,A. Balaji,Independent,51,Male
Velachery,26,E. Perumal,Independent,49,Male
Velachery,26,A. Gayathri,Independent,46,Female
Velachery,26,R. Prakash,Independent,30,Male
Velachery,26,M. Suresh,Independent,56,Male
Velachery,26,G. Ramesh,Independent,67,Male
Velachery,26,K. Suganya,Independent,52,Female
Velachery,26,G. Ramesh,Independent,62,Male
Velachery,26,T. Perumal,Independent,61,Male
Velachery,26,V. Ajith,Independent,32,Male
Velachery,26,V. Perumal,Independent,67,Male
Velachery,26,G. Surya,Independent,35,Male
Shozhinganallur,27,E. Selvam,DMK,44,Male
Shozhinganallur,27,V. Vikram,AIADMK,28,Male
Shozhinganallur,27,E. Mani,NTK,42,Male
Shozhinganallur,27,T. Natarajan,BJP,42,Male
Shozhinganallur,27,R. Mani,VCK,38,Male
Shozhinganallur,27,J. Rajini,Independent,52,Male
Shozhinganallur,27,T. Natarajan,Independent,63,Male
Shozhinganallur,27,M. Ajith,Independent,69,Male
Shozhinganallur,27,J. Raja,Independent,44,Male
Shozhinganallur,27,R. Natarajan,Independent,33,Male
Shozhinganallur,27,G. Vijay,Independent,59,Male
Shozhinganallur,27,B. Revathi,Independent,38,Female
Alandur,28,G. Geetha,DMK,54,Female
Alandur,28,K. Indira,AIADMK,37,Female
Alandur,28,D. Geetha,NTK,61,Female
Alandur,28,V. Ajith,INC,48,Male
Alandur,28,E. Arun,PMK,34,Male
Alandur,28,B. Rajendran,Independent,43,Male
Alandur,28,R. Balaji,Independent,56,Male
Alandur,28,J. Ashok,Independent,31,Male
Alandur,28,R. Karuppu,Independent,43,Male
Alandur,28,S. Ramesh,Independent,70,Male
Alandur,28,L. Balaji,Independent,25,Male
Alandur,28,C. Kavitha,Independent,43,Female
Alandur,28,M. Perumal,Independent,27,Male
Alandur,28,S. Arun,Independent,65,Male
Sriperumbudur,29,N. Rajini,DMK,43,Male
Sriperumbudur,29,A. Rajini,AIADMK,38,Male
Sriperumbudur,29,C. Renuka,NTK,52,Female
Sriperumbudur,29,A. Muthu,INC,54,Male
Sriperumbudur,29,C. Senthil,PMK,66,Male
Sriperumbudur,29,S. Vijay,Independent,25,Male
Sriperumbudur,29,D. Senthil,Independent,70,Male
Sriperumbudur,29,M. Malathi,Independent,44,Female
Sriperumbudur,29,P. Kamal,Independent,47,Male
Sriperumbudur,29,P. Shanthi,Independent,64,Female
Sriperumbudur,29,E. Vijay,Independent,28,Male
Sriperumbudur,29,P. Raja,Independent,61,Male
Sriperumbudur,29,B. Dhanush,Independent,66,Male
Sriperumbudur,29,B. Raja,Independent,62,Male
Sriperumbudur,29,K. Vijay,Independent,75,Male
Sriperumbudur,29,K. Rajendran,Independent,65,Male
Sriperumbudur,29,R. Natarajan,Independent,61,Male
Sriperumbudur,29,D. Perumal,Independent,58,Male
Sriperumbudur,29,M. Vikram,Independent,42,Male
Sriperumbudur,29,L. Murugan,Independent,46,Male
Pallavaram,30,P. Sekar,DMK,72,Male
Pallavaram,30,E. Anitha,AIADMK,36,Female
Pallavaram,30,N. Sekar,NTK,29,Male
Pallavaram,30,S. Revathi,INC,41,Female
Pallavaram,30,P. Chandran,Independent,30,Male
Pallavaram,30,V. Arun,Independent,26,Male
Pallavaram,30,M. Dhanush,Independent,51,Male
Pallavaram,30,D. Kannan,Independent,67,Male
Pallavaram,30,C. Moorthy,Independent,64,Male
Pallavaram,30,C. Malathi,Independent,39,Female
Pallavaram,30,V. Mani,Independent,54,Male
Pallavaram,30,R. Muthu,Independent,68,Male
Pallavaram,30,R. Vijay,Independent,59,Male
Pallavaram,30,L. Vijay,Independent,58,Male
Pallavaram,30,C. Palani,Independent,66,Male
Pallavaram,30,L. Meena,Independent,52,Female
Pallavaram,30,N. Sekar,Independent,39,Male
Pallavaram,30,L. Muthu,Independent,62,Male
Pallavaram,30,P. Mani,Independent,71,Male
Pallavaram,30,D. Suresh,Independent,71,Male
Pallavaram,30,P. Ganesan,Independent,53,Male
Tambaram,31,M. Vijay,DMK,35,Male
Tambaram,31,A. Geetha,AIADMK,57,Female
Tambaram,31,N. Lakshmi,NTK,67,Female
Tambaram,31,A. Geetha,PMK,68,Female
Tambaram,31,T. Natarajan,Independent,59,Male
Tambaram,31,V. Ganesan,Independent,58,Male
Tambaram,31,L. Chandran,Independent,74,Male
Tambaram,31,V. Moorthy,Independent,59,Male
Tambaram,31,P. Balaji,Independent,56,Male
Tambaram,31,S. Murugan,Independent,72,Male
Tambaram,31,M. Muthu,Independent,71,Male
Tambaram,31,S. Rajendran,Independent,28,Male
Tambaram,31,V. Senthil,Independent,37,Male
Tambaram,31,G. Selvam,Independent,74,Male
Tambaram,31,T. Vijay,Independent,56,Male
Tambaram,31,J. Perumal,Independent,65,Male
Tambaram,31,J. Surya,Independent,25,Male
Tambaram,31,C. Natarajan,Independent,35,Male
Tambaram,31,B. Karuppu,Independent,74,Male
Tambaram,31,N. Ramesh,Independent,45,Male
Chengalpattu,32,M. Prakash,DMK,55,Male
Chengalpattu,32,A. Rajini,AIADMK,49,Male
Chengalpattu,32,G. Karuppu,NTK,72,Male
Chengalpattu,32,J. Surya,INC,53,Male
Chengalpattu,32,V. Mani,VCK,45,Male
Chengalpattu,32,L. Karuppu,Independent,45,Male
Chengalpattu,32,D. Balaji,Independent,61,Male
Chengalpattu,32,T. Muthu,Independent,50,Male
Chengalpattu,32,M. Ashok,Independent,29,Male
Chengalpattu,32,T. Muthu,Independent,33,Male
Chengalpattu,32,G. Mani,Independent,48,Male
Chengalpattu,32,V. Ashok,Independent,32,Male
Chengalpattu,32,T. Mani,Independent,41,Male
Chengalpattu,32,A. Raja,Independent,39,Male
Chengalpattu,32,S. Mani,Independent,36,Male
